Year,AREA_clean,Welfare_Percentage
1975,Hokkaido,0.96
1975,Aomori,0.81
1975,Iwate,1.08
1975,Miyagi,1.14
1975,Akita,1.98
1975,Yamagata,1.57
1975,Fukushima,0.95
1975,Ibaraki,1.67
1975,Tochigi,1.06
1975,Gunma,2.27
1975,Saitama,2.24
1975,Chiba,0.94
1975,Tokyo,2.93
1975,Kanagawa,1.76
1975,Niigata,0.59
1975,Toyama,0.82
1975,Ishikawa,0.84
1975,Fukui,1.43
1975,Yamanashi,1.23
1975,Nagano,1.28
1975,Gifu,1.33
1975,Shizuoka,0.66
1975,Aichi,1.75
1975,Mie,1.37
1975,Shiga,1.11
1975,Kyoto,1.67
1975,Osaka,1.74
1975,Hyōgo,1.39
1975,Nara,2.16
1975,Wakayama,4.69
1975,Tottori,1.28
1975,Shimane,1.26
1975,Okayama,1.45
1975,Hiroshima,1.24
1975,Yamaguchi,1.25
1975,Tokushima,1.43
1975,Kagawa,2.06
1975,Ehime,1.19
1975,Kōchi,1.22
1975,Fukuoka,1.06
1975,Saga,1.3
1975,Nagasaki,1.58
1975,Kumamoto,0.78
1975,Ōita,0.78
1975,Miyazaki,0.75
1975,Kagoshima,1.19
1975,Okinawa,1.28
1976,Hokkaido,1.0
1976,Aomori,0.92
1976,Iwate,1.25
1976,Miyagi,1.26
1976,Akita,2.06
1976,Yamagata,1.56
1976,Fukushima,0.84
1976,Ibaraki,1.61
1976,Tochigi,0.98
1976,Gunma,2.68
1976,Saitama,1.42
1976,Chiba,1.18
1976,Tokyo,2.9
1976,Kanagawa,1.75
1976,Niigata,0.62
1976,Toyama,0.88
1976,Ishikawa,0.81
1976,Fukui,1.77
1976,Yamanashi,1.26
1976,Nagano,1.32
1976,Gifu,2.16
1976,Shizuoka,0.89
1976,Aichi,1.74
1976,Mie,2.3
1976,Shiga,1.26
1976,Kyoto,1.89
1976,Osaka,1.82
1976,Hyōgo,1.26
1976,Nara,3.28
1976,Wakayama,3.96
1976,Tottori,1.37
1976,Shimane,1.16
1976,Okayama,1.45
1976,Hiroshima,1.42
1976,Yamaguchi,1.3
1976,Tokushima,1.34
1976,Kagawa,2.08
1976,Ehime,1.3
1976,Kōchi,1.1
1976,Fukuoka,1.25
1976,Saga,1.37
1976,Nagasaki,1.59
1976,Kumamoto,0.81
1976,Ōita,0.67
1976,Miyazaki,1.05
1976,Kagoshima,1.11
1976,Okinawa,1.26
1977,Hokkaido,1.16
1977,Aomori,1.3
1977,Iwate,1.51
1977,Miyagi,1.33
1977,Akita,1.67
1977,Yamagata,1.47
1977,Fukushima,0.94
1977,Ibaraki,1.71
1977,Tochigi,1.03
1977,Gunma,2.04
1977,Saitama,1.72
1977,Chiba,1.23
1977,Tokyo,3.01
1977,Kanagawa,1.7
1977,Niigata,0.59
1977,Toyama,0.83
1977,Ishikawa,0.82
1977,Fukui,1.81
1977,Yamanashi,1.13
1977,Nagano,1.35
1977,Gifu,1.09
1977,Shizuoka,1.21
1977,Aichi,1.73
1977,Mie,1.96
1977,Shiga,1.25
1977,Kyoto,1.86
1977,Osaka,1.76
1977,Hyōgo,1.17
1977,Nara,3.06
1977,Wakayama,4.56
1977,Tottori,1.22
1977,Shimane,1.16
1977,Okayama,1.34
1977,Hiroshima,1.4
1977,Yamaguchi,1.36
1977,Tokushima,1.36
1977,Kagawa,2.1
1977,Ehime,1.23
1977,Kōchi,1.27
1977,Fukuoka,1.31
1977,Saga,1.23
1977,Nagasaki,1.54
1977,Kumamoto,0.94
1977,Ōita,0.76
1977,Miyazaki,1.03
1977,Kagoshima,1.25
1977,Okinawa,1.29
1978,Hokkaido,1.24
1978,Aomori,1.18
1978,Iwate,1.86
1978,Miyagi,1.25
1978,Akita,1.58
1978,Yamagata,1.2
1978,Fukushima,0.87
1978,Ibaraki,1.53
1978,Tochigi,1.36
1978,Gunma,1.53
1978,Saitama,1.54
1978,Chiba,1.08
1978,Tokyo,3.14
1978,Kanagawa,1.73
1978,Niigata,0.61
1978,Toyama,0.79
1978,Ishikawa,0.91
1978,Fukui,1.64
1978,Yamanashi,1.38
1978,Nagano,1.33
1978,Gifu,1.11
1978,Shizuoka,1.08
1978,Aichi,1.77
1978,Mie,1.73
1978,Shiga,1.05
1978,Kyoto,2.28
1978,Osaka,1.58
1978,Hyōgo,1.21
1978,Nara,2.63
1978,Wakayama,4.41
1978,Tottori,1.18
1978,Shimane,1.19
1978,Okayama,1.4
1978,Hiroshima,1.31
1978,Yamaguchi,1.41
1978,Tokushima,1.33
1978,Kagawa,2.4
1978,Ehime,1.39
1978,Kōchi,1.27
1978,Fukuoka,1.23
1978,Saga,1.4
1978,Nagasaki,1.53
1978,Kumamoto,0.97
1978,Ōita,0.79
1978,Miyazaki,1.02
1978,Kagoshima,1.41
1978,Okinawa,1.16
1979,Hokkaido,1.29
1979,Aomori,1.36
1979,Iwate,1.78
1979,Miyagi,1.31
1979,Akita,1.61
1979,Yamagata,1.36
1979,Fukushima,0.89
1979,Ibaraki,1.57
1979,Tochigi,1.22
1979,Gunma,1.53
1979,Saitama,1.42
1979,Chiba,1.23
1979,Tokyo,3.18
1979,Kanagawa,1.68
1979,Niigata,0.59
1979,Toyama,0.66
1979,Ishikawa,1.01
1979,Fukui,1.8
1979,Yamanashi,1.28
1979,Nagano,1.37
1979,Gifu,1.14
1979,Shizuoka,0.97
1979,Aichi,1.87
1979,Mie,1.97
1979,Shiga,1.16
1979,Kyoto,2.53
1979,Osaka,1.55
1979,Hyōgo,1.21
1979,Nara,2.16
1979,Wakayama,4.99
1979,Tottori,1.38
1979,Shimane,1.18
1979,Okayama,1.52
1979,Hiroshima,1.33
1979,Yamaguchi,1.21
1979,Tokushima,1.27
1979,Kagawa,2.41
1979,Ehime,1.41
1979,Kōchi,1.4
1979,Fukuoka,1.28
1979,Saga,1.4
1979,Nagasaki,1.62
1979,Kumamoto,0.89
1979,Ōita,0.78
1979,Miyazaki,1.29
1979,Kagoshima,1.53
1979,Okinawa,1.27
1980,Hokkaido,1.27
1980,Aomori,1.29
1980,Iwate,1.41
1980,Miyagi,1.27
1980,Akita,1.71
1980,Yamagata,1.3
1980,Fukushima,0.88
1980,Ibaraki,1.65
1980,Tochigi,1.46
1980,Gunma,1.52
1980,Saitama,1.62
1980,Chiba,1.53
1980,Tokyo,2.63
1980,Kanagawa,1.76
1980,Niigata,0.67
1980,Toyama,0.61
1980,Ishikawa,0.95
1980,Fukui,1.88
1980,Yamanashi,1.29
1980,Nagano,1.35
1980,Gifu,1.23
1980,Shizuoka,1.05
1980,Aichi,1.88
1980,Mie,1.97
1980,Shiga,1.23
1980,Kyoto,1.76
1980,Osaka,1.66
1980,Hyōgo,1.17
1980,Nara,2.03
1980,Wakayama,4.94
1980,Tottori,1.34
1980,Shimane,1.1
1980,Okayama,1.49
1980,Hiroshima,2.08
1980,Yamaguchi,1.3
1980,Tokushima,1.33
1980,Kagawa,1.96
1980,Ehime,1.34
1980,Kōchi,1.29
1980,Fukuoka,1.33
1980,Saga,1.43
1980,Nagasaki,1.51
1980,Kumamoto,1.04
1980,Ōita,0.8
1980,Miyazaki,1.24
1980,Kagoshima,1.54
1980,Okinawa,1.35
1981,Hokkaido,1.21
1981,Aomori,1.34
1981,Iwate,1.49
1981,Miyagi,1.39
1981,Akita,2.01
1981,Yamagata,1.39
1981,Fukushima,1.0
1981,Ibaraki,1.76
1981,Tochigi,1.42
1981,Gunma,1.49
1981,Saitama,2.06
1981,Chiba,0.99
1981,Tokyo,2.17
1981,Kanagawa,1.72
1981,Niigata,0.76
1981,Toyama,0.63
1981,Ishikawa,1.19
1981,Fukui,1.49
1981,Yamanashi,1.44
1981,Nagano,1.54
1981,Gifu,1.28
1981,Shizuoka,1.16
1981,Aichi,1.97
1981,Mie,1.99
1981,Shiga,1.53
1981,Kyoto,2.14
1981,Osaka,1.76
1981,Hyōgo,1.28
1981,Nara,2.8
1981,Wakayama,5.15
1981,Tottori,1.27
1981,Shimane,1.18
1981,Okayama,1.59
1981,Hiroshima,1.61
1981,Yamaguchi,1.35
1981,Tokushima,1.38
1981,Kagawa,2.02
1981,Ehime,1.62
1981,Kōchi,1.38
1981,Fukuoka,1.32
1981,Saga,1.44
1981,Nagasaki,1.47
1981,Kumamoto,1.16
1981,Ōita,0.88
1981,Miyazaki,1.28
1981,Kagoshima,1.84
1981,Okinawa,1.41
1982,Hokkaido,1.27
1982,Aomori,1.26
1982,Iwate,1.65
1982,Miyagi,1.56
1982,Akita,1.86
1982,Yamagata,1.44
1982,Fukushima,0.96
1982,Ibaraki,1.72
1982,Tochigi,1.44
1982,Gunma,1.5
1982,Saitama,1.55
1982,Chiba,1.02
1982,Tokyo,2.36
1982,Kanagawa,1.88
1982,Niigata,0.76
1982,Toyama,0.66
1982,Ishikawa,0.91
1982,Fukui,1.4
1982,Yamanashi,1.44
1982,Nagano,1.55
1982,Gifu,1.38
1982,Shizuoka,1.35
1982,Aichi,1.89
1982,Mie,1.93
1982,Shiga,1.54
1982,Kyoto,2.35
1982,Osaka,1.85
1982,Hyōgo,1.39
1982,Nara,2.44
1982,Wakayama,4.42
1982,Tottori,1.3
1982,Shimane,1.49
1982,Okayama,1.81
1982,Hiroshima,1.45
1982,Yamaguchi,1.34
1982,Tokushima,1.46
1982,Kagawa,1.79
1982,Ehime,1.77
1982,Kōchi,1.47
1982,Fukuoka,1.32
1982,Saga,1.55
1982,Nagasaki,1.76
1982,Kumamoto,1.21
1982,Ōita,0.82
1982,Miyazaki,1.2
1982,Kagoshima,1.76
1982,Okinawa,1.38
1983,Hokkaido,1.18
1983,Aomori,1.25
1983,Iwate,2.04
1983,Miyagi,1.41
1983,Akita,1.83
1983,Yamagata,1.28
1983,Fukushima,1.0
1983,Ibaraki,1.74
1983,Tochigi,1.19
1983,Gunma,1.67
1983,Saitama,1.55
1983,Chiba,0.99
1983,Tokyo,2.3
1983,Kanagawa,1.84
1983,Niigata,0.76
1983,Toyama,1.55
1983,Ishikawa,1.09
1983,Fukui,1.54
1983,Yamanashi,1.22
1983,Nagano,1.6
1983,Gifu,1.27
1983,Shizuoka,0.93
1983,Aichi,1.83
1983,Mie,1.92
1983,Shiga,1.48
1983,Kyoto,2.55
1983,Osaka,1.79
1983,Hyōgo,1.43
1983,Nara,2.59
1983,Wakayama,4.44
1983,Tottori,1.24
1983,Shimane,1.2
1983,Okayama,1.55
1983,Hiroshima,1.67
1983,Yamaguchi,1.19
1983,Tokushima,1.69
1983,Kagawa,2.24
1983,Ehime,1.74
1983,Kōchi,1.49
1983,Fukuoka,1.35
1983,Saga,1.53
1983,Nagasaki,1.59
1983,Kumamoto,1.27
1983,Ōita,1.09
1983,Miyazaki,1.24
1983,Kagoshima,1.79
1983,Okinawa,1.51
1984,Hokkaido,1.16
1984,Aomori,1.26
1984,Iwate,2.39
1984,Miyagi,1.5
1984,Akita,1.95
1984,Yamagata,1.3
1984,Fukushima,1.14
1984,Ibaraki,1.77
1984,Tochigi,1.24
1984,Gunma,1.71
1984,Saitama,1.62
1984,Chiba,1.04
1984,Tokyo,2.25
1984,Kanagawa,1.86
1984,Niigata,0.74
1984,Toyama,1.31
1984,Ishikawa,1.14
1984,Fukui,1.48
1984,Yamanashi,1.28
1984,Nagano,1.64
1984,Gifu,1.63
1984,Shizuoka,1.04
1984,Aichi,1.77
1984,Mie,2.13
1984,Shiga,1.25
1984,Kyoto,2.4
1984,Osaka,1.79
1984,Hyōgo,1.37
1984,Nara,2.63
1984,Wakayama,4.82
1984,Tottori,1.25
1984,Shimane,1.03
1984,Okayama,1.71
1984,Hiroshima,1.99
1984,Yamaguchi,1.26
1984,Tokushima,1.43
1984,Kagawa,2.44
1984,Ehime,1.77
1984,Kōchi,1.6
1984,Fukuoka,1.48
1984,Saga,1.44
1984,Nagasaki,1.7
1984,Kumamoto,1.51
1984,Ōita,1.03
1984,Miyazaki,1.3
1984,Kagoshima,1.67
1984,Okinawa,1.45
1985,Hokkaido,1.2
1985,Aomori,1.23
1985,Iwate,1.55
1985,Miyagi,1.52
1985,Akita,2.17
1985,Yamagata,1.19
1985,Fukushima,1.33
1985,Ibaraki,1.72
1985,Tochigi,1.21
1985,Gunma,1.37
1985,Saitama,1.56
1985,Chiba,0.97
1985,Tokyo,2.26
1985,Kanagawa,2.02
1985,Niigata,0.78
1985,Toyama,0.9
1985,Ishikawa,1.01
1985,Fukui,1.41
1985,Yamanashi,1.3
1985,Nagano,1.44
1985,Gifu,1.51
1985,Shizuoka,1.16
1985,Aichi,1.76
1985,Mie,1.96
1985,Shiga,1.32
1985,Kyoto,2.12
1985,Osaka,1.93
1985,Hyōgo,1.38
1985,Nara,3.0
1985,Wakayama,5.02
1985,Tottori,1.56
1985,Shimane,1.11
1985,Okayama,1.61
1985,Hiroshima,1.44
1985,Yamaguchi,1.17
1985,Tokushima,1.48
1985,Kagawa,2.72
1985,Ehime,1.47
1985,Kōchi,1.59
1985,Fukuoka,1.44
1985,Saga,1.55
1985,Nagasaki,1.67
1985,Kumamoto,1.72
1985,Ōita,1.31
1985,Miyazaki,1.27
1985,Kagoshima,1.68
1985,Okinawa,1.51
1986,Hokkaido,1.23
1986,Aomori,1.2
1986,Iwate,1.56
1986,Miyagi,1.65
1986,Akita,2.01
1986,Yamagata,1.12
1986,Fukushima,1.19
1986,Ibaraki,1.73
1986,Tochigi,1.18
1986,Gunma,1.44
1986,Saitama,1.95
1986,Chiba,0.95
1986,Tokyo,2.49
1986,Kanagawa,1.86
1986,Niigata,0.78
1986,Toyama,0.98
1986,Ishikawa,1.01
1986,Fukui,1.44
1986,Yamanashi,1.5
1986,Nagano,1.42
1986,Gifu,1.68
1986,Shizuoka,0.92
1986,Aichi,1.83
1986,Mie,1.73
1986,Shiga,1.45
1986,Kyoto,2.05
1986,Osaka,1.71
1986,Hyōgo,1.47
1986,Nara,2.82
1986,Wakayama,4.23
1986,Tottori,1.49
1986,Shimane,1.18
1986,Okayama,1.82
1986,Hiroshima,1.45
1986,Yamaguchi,1.13
1986,Tokushima,1.54
1986,Kagawa,2.17
1986,Ehime,1.71
1986,Kōchi,1.97
1986,Fukuoka,1.5
1986,Saga,1.39
1986,Nagasaki,1.67
1986,Kumamoto,1.29
1986,Ōita,0.86
1986,Miyazaki,1.26
1986,Kagoshima,1.62
1986,Okinawa,1.46
1987,Hokkaido,1.16
1987,Aomori,1.18
1987,Iwate,1.55
1987,Miyagi,1.76
1987,Akita,1.76
1987,Yamagata,1.03
1987,Fukushima,1.14
1987,Ibaraki,1.65
1987,Tochigi,1.21
1987,Gunma,2.08
1987,Saitama,1.87
1987,Chiba,1.43
1987,Tokyo,2.15
1987,Kanagawa,1.77
1987,Niigata,0.75
1987,Toyama,0.97
1987,Ishikawa,0.98
1987,Fukui,1.33
1987,Yamanashi,1.46
1987,Nagano,1.36
1987,Gifu,1.23
1987,Shizuoka,0.91
1987,Aichi,1.85
1987,Mie,1.62
1987,Shiga,1.41
1987,Kyoto,2.22
1987,Osaka,1.62
1987,Hyōgo,1.46
1987,Nara,3.49
1987,Wakayama,3.3
1987,Tottori,1.45
1987,Shimane,1.36
1987,Okayama,1.61
1987,Hiroshima,1.52
1987,Yamaguchi,1.22
1987,Tokushima,1.33
1987,Kagawa,1.87
1987,Ehime,1.75
1987,Kōchi,2.01
1987,Fukuoka,1.38
1987,Saga,1.27
1987,Nagasaki,1.64
1987,Kumamoto,1.15
1987,Ōita,1.31
1987,Miyazaki,1.15
1987,Kagoshima,1.48
1987,Okinawa,1.55
1988,Hokkaido,1.35
1988,Aomori,1.38
1988,Iwate,1.66
1988,Miyagi,1.46
1988,Akita,1.93
1988,Yamagata,1.17
1988,Fukushima,1.07
1988,Ibaraki,1.73
1988,Tochigi,1.24
1988,Gunma,2.29
1988,Saitama,1.79
1988,Chiba,1.54
1988,Tokyo,2.19
1988,Kanagawa,1.9
1988,Niigata,0.85
1988,Toyama,1.03
1988,Ishikawa,1.41
1988,Fukui,1.54
1988,Yamanashi,1.47
1988,Nagano,1.49
1988,Gifu,1.38
1988,Shizuoka,1.14
1988,Aichi,1.9
1988,Mie,1.71
1988,Shiga,1.39
1988,Kyoto,2.16
1988,Osaka,1.71
1988,Hyōgo,1.64
1988,Nara,2.47
1988,Wakayama,3.33
1988,Tottori,1.45
1988,Shimane,1.65
1988,Okayama,2.44
1988,Hiroshima,1.8
1988,Yamaguchi,1.37
1988,Tokushima,1.48
1988,Kagawa,1.84
1988,Ehime,1.65
1988,Kōchi,1.58
1988,Fukuoka,1.55
1988,Saga,1.46
1988,Nagasaki,1.75
1988,Kumamoto,1.54
1988,Ōita,1.52
1988,Miyazaki,1.37
1988,Kagoshima,1.74
1988,Okinawa,1.52
1989,Hokkaido,1.3
1989,Aomori,1.37
1989,Iwate,1.7
1989,Miyagi,1.33
1989,Akita,2.7
1989,Yamagata,1.13
1989,Fukushima,1.26
1989,Ibaraki,1.87
1989,Tochigi,1.64
1989,Gunma,2.78
1989,Saitama,1.87
1989,Chiba,1.05
1989,Tokyo,2.13
1989,Kanagawa,2.01
1989,Niigata,0.89
1989,Toyama,1.02
1989,Ishikawa,1.26
1989,Fukui,1.51
1989,Yamanashi,1.43
1989,Nagano,1.47
1989,Gifu,1.37
1989,Shizuoka,1.08
1989,Aichi,1.86
1989,Mie,1.98
1989,Shiga,1.62
1989,Kyoto,1.95
1989,Osaka,2.47
1989,Hyōgo,1.61
1989,Nara,2.4
1989,Wakayama,3.11
1989,Tottori,1.44
1989,Shimane,1.34
1989,Okayama,2.37
1989,Hiroshima,1.52
1989,Yamaguchi,1.31
1989,Tokushima,1.49
1989,Kagawa,2.17
1989,Ehime,1.75
1989,Kōchi,1.55
1989,Fukuoka,1.66
1989,Saga,1.42
1989,Nagasaki,1.72
1989,Kumamoto,1.45
1989,Ōita,1.57
1989,Miyazaki,1.3
1989,Kagoshima,1.65
1989,Okinawa,1.47
1990,Hokkaido,1.32
1990,Aomori,1.37
1990,Iwate,1.64
1990,Miyagi,1.33
1990,Akita,1.89
1990,Yamagata,1.33
1990,Fukushima,1.06
1990,Ibaraki,1.87
1990,Tochigi,1.59
1990,Gunma,3.19
1990,Saitama,1.72
1990,Chiba,1.22
1990,Tokyo,2.24
