Year,UK annual growth rate,US annual growth rate,UK Investment,US Investment
1973,6.542277,7.076998,66598.817,316688
1974,-1.950787,-3.903179,75127.027,336702
1975,-1.891627,-7.300125,78655.774,347912
1976,1.727096,8.032114,84265.704,395754
1977,-1.531646,10.328927,87032.183,467452
1978,2.512781,10.653133,95475.907,558153
1979,2.619505,5.698898,107890.027,641769
1980,-4.749292,-4.292458,111182.338,672378
1981,-8.731575,1.907784,109417.689,748760
1982,6.01147,-4.965582,118510.645,752891
1983,5.045911,7.259263,127327.662,814433
1984,9.094373,15.009207,142910.919,947866
1985,4.16918,7.004704,153643.4,1027702
1986,2.19472,3.145875,160365.674,1080662
1987,9.478216,1.76811,179959.665,1119664
1988,14.84502,2.311966,214021.309,1176882
1989,6.097725,2.930515,238711.025,1242441
1990,-2.210661,-0.104831,230625.476,1269272
1991,-6.328682,-4.107017,207454.382,1238832
1992,0.899137,4.100044,198914.759,1292796
1993,1.559287,5.095002,199364.438,1377895
1994,6.396448,6.10475,216328.43,1486873
1995,4.739805,5.155779,215986.245,1594003
1996,4.666226,7.654242,237527.35,1721214
1997,-1.474339,7.181131,230975.205,1851279
1998,5.755545,9.293721,243074.167,2016953
1999,1.722663,8.324466,251444.279,2194721
2000,5.725806,6.397547,278255.144,2372714
2001,1.987057,-0.423111,292820.328,2385009
2002,1.993816,-1.695693,305999.666,2354119
2003,2.514884,4.236905,316659.204,2477183
2004,2.660605,5.992811,336086.61,2703389
2005,4.115423,6.059387,347722.425,2990493
2006,2.878882,2.674307,376801.399,3182858
2007,4.359942,-0.578935,395310.822,3231084
2008,-3.230349,-4.205588,400820.22,3136450
2009,-12.27214,-12.522083,352161.605,2723344
2010,4.746403,2.232247,367743.529,2756059
2011,0.105563,4.576503,369972.732,2922919
2012,1.594215,6.869911,384843.183,3171573
2013,3.249608,3.568419,409125.967,3321886
2014,7.03615,5.133423,441928.369,3562780
2015,7.146191,3.65145,480791.98,3722979
2016,5.141014,2.128083,517863.209,3808723
2017,3.502363,3.841407,555085.424,4021712
2018,-0.478797,4.654975,563204.683,4295134
2019,2.157914,2.634331,606904.934,4485471
2020,-10.768583,-1.234356,562385.927,4489254
2021,7.443673,5.718904,626270.328,4939579